Frame, Time, HP, Atk, Def, SpD, SpD, Spe
12031, 3:20.51, A, 18, 21, A, 11, A
12032, 3:20.53, A, 20, A, A, 15, 5
12033, 3:20.55, 5, A, 15, 24, 16, A
12034, 3:20.56, 8, 24, A, A, 10, 8
12035, 3:20.58, 8, A, A, A, 15, 21
12036, 3:20.60, 21, B, 15, A, 8, 14
12037, 3:20.61, 14, B, A, A, 8, 24
12038, 3:20.63, 24, B, 8, B, A, 6
12039, 3:20.65, 6, 24, B, A, 1, A
12040, 3:20.66, B, A, 1, 22, 6, A
12041, 3:20.68, 24, 22, 6, 27, A, 18
12042, 3:20.70, A, 27, 11, B, A, 20
12043, 3:20.71, 20, A, 3, 22, 15, A
12044, 3:20.73, 25, 22, B, B, 30, A
12045, 3:20.75, A, 26, 30, 15, B, B
12046, 3:20.76, 3, 15, B, B, 10, 2
12047, 3:20.78, 2, 30, 10, 21, B, 8
12048, 3:20.80, 8, 21, B, 30, 17, B
12049, 3:20.81, 6, 30, 17, B, B, 21
12050, 3:20.83, 21, 0, B, 25, A, 6
12051, 3:20.85, 6, 25, 12, 3, A, A
12052, 3:20.86, 11, A, 19, 21, A, A
12053, 3:20.88, 21, A, 18, A, 22, 19
12054, 3:20.90, 19, A, 22, B, A, 19
12055, 3:20.91, 19, A, A, 0, B, 27
12056, 3:20.93, 27, 0, B, B, 25, 3
12057, 3:20.95, 3, 30, 25, B, A, 12
12058, 3:20.96, 12, B, A, 17, 13, 10
12059, 3:20.98, 10, B, 13, 24, 20, B
12060, 3:21.00, 12, B, 20, B, 15, 18
12061, 3:21.01, 18, B, 15, 22, B, 23
12062, 3:21.03, 23, 22, B, B, 18, B
12063, 3:21.05, 16, 17, B, 28, A, 25
12064, 3:21.06, 25, B, 11, A, B, 24
12065, 3:21.08, 24, 21, 29, 21, B, 23
12066, 3:21.10, 23, B, 24, 28, B, 1
12067, 3:21.11, 1, B, 31, 23, B, A
12068, 3:21.13, 31, 23, 9, B, B, A
12069, 3:21.15, 19, 28, 14, 4, B, A
12070, 3:21.16, 31, A, 25, B, 31, 4
12071, 3:21.18, 4, 24, 31, A, B, A
12072, 3:21.20, 9, 12, A, A, B, 31
12073, 3:21.21, 31, A, 20, 17, 29, A
12074, 3:21.23, 23, 17, 29, B, 26, B
12075, 3:21.25, 0, 23, 26, A, 7, B
12076, 3:21.26, 13, A, B, 9, 17, B
12077, 3:21.28, 11, 9, 17, 15, A, A
12078, 3:21.30, 0, 15, A, A, A, 14
12079, 3:21.31, 14, 25, 20, A, A, A
12080, 3:21.33, 21, A, A, 18, 3, 8
12081, 3:21.35, A, A, A, 15, 0, 21
12082, 3:21.36, 21, A, 0, A, A, 15
12083, 3:21.38, 15, B, A, 19, 12, 2
12084, 3:21.40, A, B, 12, 19, 16, 4
12085, 3:21.41, 4, B, 16, B, B, 20
12086, 3:21.43, 20, 2, B, 18, B, 0
12087, 3:21.45, 0, 18, 4, B, B, A
12088, 3:21.46, 12, 0, 22, 26, B, B
12089, 3:21.48, 24, B, 7, 16, B, A
12090, 3:21.50, 28, A, 16, 22, B, 11
12091, 3:21.51, 11, B, 1, 18, B, 13
12092, 3:21.53, A, 18, 17, 9, B, A
12093, 3:21.55, 29, 9, 2, B, A, 23
12094, 3:21.56, 23, A, 20, 28, 20, B
12095, 3:21.58, 0, A, 20, B, 3, B
12096, 3:21.60, 31, 4, 3, 10, B, A
12097, 3:21.61, A, 10, 19, B, B, 26
12098, 3:21.63, 26, B, 10, B, 3, 5
12099, 3:21.65, 5, B, 3, 12, B, B
12100, 3:21.66, B, 12, 24, 14, B, B
12101, 3:21.68, 7, B, B, 18, B, 11
12102, 3:21.70, 11, B, 27, 3, 15, A
12103, 3:21.71, 10, 3, 15, A, 11, A
12104, 3:21.73, 5, A, 11, 28, A, 27
12105, 3:21.75, 27, B, 30, 1, 25, A
12106, 3:21.76, 3, A, 25, 29, A, 1
12107, 3:21.78, 1, A, 26, A, 3, 29
12108, 3:21.80, A, 25, 3, A, 0, A
12109, 3:21.81, A, 5, 0, B, 30, 20
12110, 3:21.83, 20, B, 30, 25, A, 12
12111, 3:21.85, B, 25, 4, B, 3, B
12112, 3:21.86, B, 21, 3, 29, B, 25
12113, 3:21.88, B, 29, 15, B, 27, A
12114, 3:21.90, 14, B, 27, 4, 10, B
12115, 3:21.91, 24, 4, 10, 12, B, A
12116, 3:21.93, 22, B, 17, 12, A, 23
12117, 3:21.95, 23, B, 27, 12, 4, B
12118, 3:21.96, 29, 12, B, A, 8, B
12119, 3:21.98, 9, 9, A, 20, B, B
12120, 3:22.00, 21, 20, A, 26, 17, A
12121, 3:22.01, 20, 26, 17, A, 14, A
12122, 3:22.03, 21, 31, 14, A, B, A
12123, 3:22.05, 22, A, 20, A, 23, 15
12124, 3:22.06, 15, B, 23, 15, 26, 5
12125, 3:22.08, A, 15, 26, B, 15, A
12126, 3:22.10, B, A, A, 11, 25, 23
12127, 3:22.11, 23, A, 25, A, A, 0
12128, 3:22.13, 0, 13, A, B, A, 20
12129, 3:22.15, 20, A, B, 11, 24, 25
12130, 3:22.16, 25, A, 24, B, A, 28
12131, 3:22.18, 28, 21, 20, A, A, B
12132, 3:22.20, 11, 16, B, A, 16, 18
12133, 3:22.21, 18, B, 16, A, B, 4
12134, 3:22.23, 4, 13, A, B, A, 0
12135, 3:22.25, 0, 27, A, A, 20, 29
12136, 3:22.26, 29, 26, A, 3, 26, A
12137, 3:22.28, 18, A, A, 11, A, 28
12138, 3:22.30, 28, A, A, 24, A, 31
12139, 3:22.31, 31, B, A, A, 19, 18
12140, 3:22.33, A, A, B, 5, 7, 21
12141, 3:22.35, 21, 5, 7, A, 6, A
12142, 3:22.36, 8, 8, A, A, B, 4
12143, 3:22.38, A, 7, 30, A, 11, B
12144, 3:22.40, 24, 15, 11, A, 20, B
12145, 3:22.41, A, 12, 20, 20, B, A
12146, 3:22.43, A, 20, 3, B, 7, 7
12147, 3:22.45, 7, 22, 7, B, 26, B
12148, 3:22.46, B, 4, 26, B, 12, B
12149, 3:22.48, 22, 1, 12, B, 8, B
12150, 3:22.50, 23, B, 8, 9, 30, A
12151, 3:22.51, 22, 9, 30, 21, B, B
12152, 3:22.53, 30, A, 4, 17, A, 1
12153, 3:22.55, 1, B, 6, 7, 18, A
12154, 3:22.56, 1, 7, 18, B, B, A
12155, 3:22.58, 17, 11, B, B, 17, 25
12156, 3:22.60, 25, 14, B, 16, B, A
12157, 3:22.61, 19, 16, A, B, 17, B
12158, 3:22.63, 16, A, B, 25, 9, A
12159, 3:22.65, 27, A, 9, 21, A, 2
12160, 3:22.66, 2, A, A, 25, 22, B
12161, 3:22.68, A, 25, B, B, 6, 29
12162, 3:22.70, 29, 24, B, A, 15, B
12163, 3:22.71, 13, A, B, 8, 28, B
12164, 3:22.73, 28, B, 28, A, A, 29
12165, 3:22.75, 29, A, 30, 19, B, 18
12166, 3:22.76, 18, 19, 13, 0, A, A
12167, 3:22.78, 14, A, A, 21, A, 25
12168, 3:22.80, 25, A, 5, 6, 15, A
12169, 3:22.81, 15, 6, 15, A, 10, 12
12170, 3:22.83, 12, 20, 10, A, A, 1
12171, 3:22.85, 1, 0, A, B, 30, 20
12172, 3:22.86, 20, 21, A, A, 7, B
12173, 3:22.88, 28, 1, 7, B, 26, A
12174, 3:22.90, A, 14, 26, 11, 17, B
12175, 3:22.91, 30, A, 17, B, 18, B
12176, 3:22.93, 30, A, 18, 8, A, B
12177, 3:22.95, 6, 8, 3, A, B, 6
12178, 3:22.96, 6, A, B, B, 20, 5
12179, 3:22.98, 5, B, 20, B, 24, 28
12180, 3:23.00, 28, B, 24, B, A, 7
12181, 3:23.01, 7, 17, 0, B, B, A
12182, 3:23.03, 11, 25, 30, B, A, B
12183, 3:23.05, 14, A, 22, B, B, 14
12184, 3:23.06, 14, 28, 30, A, B, B
12185, 3:23.08, 7, B, 9, A, 14, B
12186, 3:23.10, 7, A, 14, 6, B, B
12187, 3:23.11, 5, 6, 24, 9, A, A
12188, 3:23.13, 20, A, A, 21, 25, B
12189, 3:23.15, 13, A, B, 12, 5, 25
12190, 3:23.16, 25, A, 5, A, 28, B
12191, 3:23.18, 20, 31, A, 29, A, A
12192, 3:23.20, A, A, 11, A, 9, 25
12193, 3:23.21, 25, B, 9, 10, A, 12
12194, 3:23.23, A, A, 10, 11, B, 2
12195, 3:23.25, 2, A, 13, B, 20, A
12196, 3:23.26, 1, 26, 20, A, A, 16
12197, 3:23.28, A, 14, A, A, 28, 28
12198, 3:23.30, 28, A, 28, A, 26, 28
12199, 3:23.31, 28, 20, A, A, 27, 0
12200, 3:23.33, 0, B, A, 8, 28, A
12201, 3:23.35, A, A, B, 28, 9, 26
12202, 3:23.36, B, 28, A, B, 29, 16
12203, 3:23.38, 16, 7, A, 23, B, B
12204, 3:23.40, B, 23, 4, A, 5, 4
12205, 3:23.41, 4, 17, A, 2, A, B
12206, 3:23.43, A, A, 23, 17, 27, B
12207, 3:23.45, 2, B, 27, 8, B, 17
12208, 3:23.46, 17, A, 28, B, 3, B
12209, 3:23.48, 18, A, 3, B, A, 23
12210, 3:23.50, A, 5, 26, 2, A, 25
12211, 3:23.51, 25, A, 23, B, 22, 28
12212, 3:23.53, 28, B, 22, 26, 27, B
12213, 3:23.55, 20, 26, B, B, 23, 31
12214, 3:23.56, 31, 23, B, B, 12, B
12215, 3:23.58, B, B, 12, 0, A, 14
12216, 3:23.60, 14, B, A, 14, 19, A
12217, 3:23.61, 12, 14, 19, A, A, A
12218, 3:23.63, 14, A, 10, A, 2, A
12219, 3:23.65, 25, A, 2, B, A, 7
12220, 3:23.66, A, B, 9, B, 12, 29
12221, 3:23.68, 29, B, B, 4, 24, B
12222, 3:23.70, B, 4, 24, B, 22, B
12223, 3:23.71, B, B, 22, 6, B, 10
12224, 3:23.73, 10, 6, 5, 6, 13, A
12225, 3:23.75, 30, A, 13, 26, B, A
12226, 3:23.76, 16, A, 8, 25, 4, B
12227, 3:23.78, 1, 25, 4, B, 8, A
12228, 3:23.80, 31, B, 8, B, B, 17
12229, 3:23.81, 17, 26, B, B, 25, A
12230, 3:23.83, B, A, 25, 25, 17, A
12231, 3:23.85, 17, A, 17, 27, A, A
12232, 3:23.86, 26, A, 30, A, A, 20
12233, 3:23.88, 20, A, 20, 7, 5, A
12234, 3:23.90, A, B, 5, 4, 30, A
12235, 3:23.91, 21, 4, 30, B, 31, 29
12236, 3:23.93, 29, B, 31, B, 13, B
12237, 3:23.95, B, 10, 13, B, A, 12
12238, 3:23.96, B, 11, 25, 31, A, B
12239, 3:23.98, 24, 31, 6, B, B, A
12240, 3:24.00, 26, A, 23, 23, B, B
12241, 3:24.01, 12, A, 18, 20, B, A
12242, 3:24.03, A, A, 20, 24, A, 13
12243, 3:24.05, 13, 24, 21, B, A, 27
12244, 3:24.06, 27, A, 25, B, B, 4
12245, 3:24.08, 4, A, B, B, 4, 29
12246, 3:24.10, B, 25, 4, 14, A, A
12247, 3:24.11, 3, 14, A, 26, A, 6
12248, 3:24.13, 6, 26, 22, B, 17, A
12249, 3:24.15, 26, B, 17, 7, 27, A
12250, 3:24.16, 0, 7, B, B, 29, 23
12251, 3:24.18, 23, 21, 29, B, 27, B
12252, 3:24.20, 27, B, B, 6, B, 10
12253, 3:24.21, 10, 6, B, 16, A, 12
12254, 3:24.23, 12, B, A, 23, A, 10
12255, 3:24.25, 10, A, 7, 16, 21, A
12256, 3:24.26, 1, 16, 21, B, A, 7
12257, 3:24.28, 7, A, 9, B, B, 15
12258, 3:24.30, 15, B, 25, B, 9, 19
12259, 3:24.31, 19, 5, 9, B, 6, B
12260, 3:24.33, 1, 23, B, B, 13, A
12261, 3:24.35, 10, A, 13, 27, B, B
12262, 3:24.36, 10, B, 24, 15, A, A
12263, 3:24.38, 22, B, 2, 23, 30, 17
12264, 3:24.40, 17, B, 30, 24, 31, A
12265, 3:24.41, B, A, A, 22, 27, 15
12266, 3:24.43, 15, A, A, 12, A, 21
12267, 3:24.45, 21, B, 23, A, 0, 20
12268, 3:24.46, 20, B, 0, B, A, 25
12269, 3:24.48, 25, A, 14, B, 31, B
12270, 3:24.50, 12, 15, B, 1, A, A
12271, 3:24.51, A, A, 11, 20, 25, B
12272, 3:24.53, 0, B, 25, 0, 1, 28
12273, 3:24.55, 28, B, 1, 22, 18, B
12274, 3:24.56, 8, 22, 18, B, A, B
12275, 3:24.58, 7, 31, A, B, 28, B
12276, 3:24.60, 1, 7, 28, B, A, A
12277, 3:24.61, 0, B, 11, 13, 24, B
12278, 3:24.63, 12, A, 24, 31, 6, A
12279, 3:24.65, 15, B, A, 1, 21, 29
12280, 3:24.66, 29, 1, 21, 12, B, B
12281, 3:24.68, B, 12, 7, B, 9, B
12282, 3:24.70, 4, 7, 9, B, B, B
12283, 3:24.71, 5, B, B, 31, 5, A
12284, 3:24.73, 24, 31, 5, 0, 25, B
12285, 3:24.75, 29, 0, 25, 6, A, A
12286, 3:24.76, 6, A, 18, 27, B, A
12287, 3:24.78, 21, A, 13, 26, 23, B
12288, 3:24.80, 25, B, 23, A, 25, 25
12289, 3:24.81, 25, A, 25, 31, A, B
12290, 3:24.83, 19, A, A, 30, B, 0
12291, 3:24.85, 0, B, A, B, 25, 13
12292, 3:24.86, 13, B, 25, A, 3, 2
12293, 3:24.88, 2, 0, B, 30, B, A
12294, 3:24.90, 28, 30, 11, A, B, B
12295, 3:24.91, 19, A, 25, 25, 20, B
12296, 3:24.93, 10, B, 20, 12, 27, A
12297, 3:24.95, 10, 12, 27, A, B, 7
12298, 3:24.96, 7, A, 29, 20, B, A
12299, 3:24.98, 27, B, A, 30, 20, B
12300, 3:25.00, 24, 30, B, A, B, 21
12301, 3:25.01, 21, B, B, B, 8, 19
12302, 3:25.03, 19, B, 8, 30, B, B
12303, 3:25.05, B, 30, 11, 29, 2, B
12304, 3:25.06, 12, B, 2, B, B, 11
12305, 3:25.08, 11, 5, 21, 19, B, B
12306, 3:25.10, 24, 19, B, 20, A, B
12307, 3:25.11, 17, 20, 10, 5, A, A
12308, 3:25.13, 21, A, 21, 10, B, 15
12309, 3:25.15, 15, 10, 31, B, B, A
12310, 3:25.16, 19, B, 6, 16, B, B
12311, 3:25.18, 7, 16, B, B, 25, A
12312, 3:25.20, B, 15, A, 20, 11, A
12313, 3:25.21, 15, A, 11, A, A, 2
12314, 3:25.23, 2, 27, 12, A, A, A
12315, 3:25.25, 12, 11, 26, B, A, A
12316, 3:25.26, A, 7, 18, B, 28, B
12317, 3:25.28, B, B, 28, A, 23, 11
12318, 3:25.30, 11, 28, B, 28, B, A
12319, 3:25.31, 22, 28, A, 6, A, B
12320, 3:25.33, 26, 6, 16, A, B, A
12321, 3:25.35, 30, A, 14, 9, A, 2
12322, 3:25.36, A, B, 31, 15, 23, A
12323, 3:25.38, 15, A, B, 9, 2, A
12324, 3:25.40, B, A, A, 24, 8, 2
12325, 3:25.41, 2, 24, 8, A, 7, A
12326, 3:25.43, 11, 5, A, A, 17, 16
12327, 3:25.45, 16, B, 17, 9, 3, A
12328, 3:25.46, 16, 9, A, B, 25, B
12329, 3:25.48, 20, A, B, B, 11, 29
12330, 3:25.50, 29, 10, 11, B, B, 14
12331, 3:25.51, 14, 18, 30, A, B, B
12332, 3:25.53, 16, A, B, 29, 18, B
12333, 3:25.55, 18, A, 18, 1, B, B
12334, 3:25.56, 8, B, A, 1, 27, A
12335, 3:25.58, 19, B, 27, 20, 27, A
12336, 3:25.60, 5, 20, B, 16, A, B
12337, 3:25.61, 0, A, 10, B, 11, 25
12338, 3:25.63, 25, B, A, 21, A, 17
12339, 3:25.65, 17, 21, 27, A, A, A
12340, 3:25.66, 0, 28, 18, A, A, A
12341, 3:25.68, 25, 19, 23, A, 2, A
12342, 3:25.70, 28, B, A, 17, 22, A
12343, 3:25.71, 19, B, 22, B, 26, 9
12344, 3:25.73, 9, 28, B, A, 11, 6
12345, 3:25.75, B, 6, A, 21, B, 2
12346, 3:25.76, 2, 21, B, 29, 28, A
12347, 3:25.78, 20, A, 28, A, 0, 10
12348, 3:25.80, 10, 24, 0, A, 2, A
12349, 3:25.81, 18, 30, A, B, 25, 3
12350, 3:25.83, 3, 9, 25, B, 17, A
12351, 3:25.85, 21, A, B, 20, B, 14
12352, 3:25.86, 14, 20, A, B, 14, B
12353, 3:25.88, 29, B, 14, A, A, 6
12354, 3:25.90, 6, B, 23, 7, A, 10
12355, 3:25.91, 10, 7, 25, 21, A, B
12356, 3:25.93, B, B, 28, B, 8, 17
12357, 3:25.95, 17, 18, 8, 12, B, B
12358, 3:25.96, 31, B, B, 7, 17, B
12359, 3:25.98, 20, 7, B, 16, 21, A
12360, 3:26.00, 9, A, 21, 28, 0, A
12361, 3:26.01, 18, 28, A, 20, 23, B
12362, 3:26.03, 25, A, 23, B, A, 21
12363, 3:26.05, 21, B, A, 16, 30, 5
12364, 3:26.06, A, B, 30, 8, B, 25
12365, 3:26.08, B, 8, 15, A, 5, 21
12366, 3:26.10, 21, B, A, 19, A, 0
12367, 3:26.11, 0, 19, A, 8, 21, A
12368, 3:26.13, 20, 8, A, B, 17, A
12369, 3:26.15, 3, A, B, B, 26, 18
12370, 3:26.16, 18, 12, B, A, 29, 15
12371, 3:26.18, 15, 31, A, B, B, 9
12372, 3:26.20, 9, 30, B, A, 16, A
12373, 3:26.21, 6, B, 16, A, 1, 14
12374, 3:26.23, 14, 31, 1, 20, A, B
12375, 3:26.25, 26, B, 23, B, 24, 15
12376, 3:26.26, 15, B, 24, 21, 7, A
12377, 3:26.28, B, A, 7, 7, B, 12
12378, 3:26.30, 12, A, 12, 17, B, A
12379, 3:26.31, 5, 17, 19, B, A, 16
12380, 3:26.33, 16, B, 11, 16, A, 5
12381, 3:26.35, 5, A, 12, B, 8, 23
12382, 3:26.36, 23, A, 8, B, B, 25
12383, 3:26.38, 25, B, B, 3, B, 26
12384, 3:26.40, 26, B, 0, 15, B, B
12385, 3:26.41, B, 15, 19, 13, 7, A
12386, 3:26.43, 6, 13, A, 18, 23, B
12387, 3:26.45, 23, 18, 23, 19, 28, B
12388, 3:26.46, 0, A, 28, B, 16, 23
12389, 3:26.48, 23, 30, A, 20, A, 1
12390, 3:26.50, A, 20, 10, 16, 12, B
12391, 3:26.51, 9, 16, 12, B, A, B
12392, 3:26.53, 29, B, 31, B, B, 12
12393, 3:26.55, 12, 31, B, B, 5, B
12394, 3:26.56, B, 12, 5, 2, B, B
12395, 3:26.58, 25, 2, 12, 26, B, B
12396, 3:26.60, 30, 26, B, 18, 21, B
12397, 3:26.61, 18, 18, 21, 10, B, B
12398, 3:26.63, 1, B, 29, B, 9, B
12399, 3:26.65, 7, 28, 9, 11, B, B
12400, 3:26.66, 1, B, 10, 4, A, 29
12401, 3:26.68, 29, 4, 15, 28, A, B
12402, 3:26.70, 11, 28, B, 15, A, A
12403, 3:26.71, 21, B, A, 0, 20, 25
12404, 3:26.73, 25, 0, 20, 7, B, B
12405, 3:26.75, B, B, B, 7, 28, 17
12406, 3:26.76, 17, 7, 28, 11, B, B
12407, 3:26.78, B, 11, 19, 17, A, B
12408, 3:26.80, 20, A, 28, 20, 23, B
12409, 3:26.81, 21, 20, 23, 4, 14, B
12410, 3:26.83, 8, A, B, 11, 7, B
12411, 3:26.85, 7, 11, 7, A, 5, B
12412, 3:26.86, A, 8, 5, 23, A, B
12413, 3:26.88, 29, A, 31, A, B, 13
12414, 3:26.90, 13, A, 22, 8, B, 12
12415, 3:26.91, A, 8, 20, B, B, 9
12416, 3:26.93, 9, B, 12, B, B, 11
12417, 3:26.95, 11, 9, 14, B, B, B
12418, 3:26.96, 10, 28, 25, B, 22, B
12419, 3:26.98, 31, 30, 22, 7, B, A
12420, 3:27.00, 6, 7, 15, 11, A, A
12421, 3:27.01, 28, A, 21, 24, B, A
12422, 3:27.03, 23, A, 31, A, 4, 21
12423, 3:27.05, 21, B, 4, 2, 31, A
12424, 3:27.06, A, 2, 31, 24, B, B
12425, 3:27.08, 11, B, 17, B, 8, 3
12426, 3:27.10, 3, 19, 8, 0, A, 2
12427, 3:27.11, 2, 0, 10, B, A, 4
12428, 3:27.13, 4, A, A, 18, 14, B
12429, 3:27.15, 3, B, 14, 18, B, 20
12430, 3:27.16, 20, 18, B, B, 13, B
12431, 3:27.18, 15, B, 13, B, A, 19
12432, 3:27.20, B, A, 30, 5, B, 21
12433, 3:27.21, 21, A, 30, 17, 28, A
12434, 3:27.23, 12, A, 28, 3, A, 10
12435, 3:27.25, 10, 3, 11, 23, 17, B
12436, 3:27.26, A, B, 17, 17, 13, 11
12437, 3:27.28, 11, B, B, A, 8, 13
12438, 3:27.30, 13, 8, A, B, 1, B
12439, 3:27.31, A, B, 1, 11, A, 1
12440, 3:27.33, 1, A, 23, B, B, 28
12441, 3:27.35, 28, 23, B, 29, B, A
12442, 3:27.36, B, A, 17, 17, 30, B
12443, 3:27.38, 1, B, 30, 0, A, A
12444, 3:27.40, 31, 0, A, 29, 7, A
12445, 3:27.41, 2, A, 7, B, 25, 15
12446, 3:27.43, 15, 21, 25, B, B, 20
12447, 3:27.45, B, 24, B, B, 25, 1
12448, 3:27.46, B, 9, 25, 12, B, B
12449, 3:27.48, 9, 12, B, B, A, 26
12450, 3:27.50, 26, B, 12, 25, 24, B
12451, 3:27.51, 10, A, 24, 21, B, A
12452, 3:27.53, 30, A, 26, B, 14, 9
12453, 3:27.55, 9, 9, 14, 25, B, A
12454, 3:27.56, B, A, 22, 10, A, 1
12455, 3:27.58, 1, A, 7, 30, B, 25
12456, 3:27.60, 25, 30, A, B, 18, B
12457, 3:27.61, 22, B, 18, B, B, 1
12458, 3:27.63, 1, 12, B, B, 9, B
12459, 3:27.65, 24, 7, B, B, B, 31
12460, 3:27.66, 31, B, 16, 30, A, 22
12461, 3:27.68, 22, 30, 7, 27, A, A
12462, 3:27.70, 22, A, 13, 27, 5, A
12463, 3:27.71, 1, B, 5, A, 29, 19
12464, 3:27.73, 19, B, 29, B, 13, 19
12465, 3:27.75, B, 25, 13, B, B, 29
12466, 3:27.76, B, B, 9, 23, A, 21
12467, 3:27.78, 21, 23, A, 23, 8, A
12468, 3:27.80, 12, 23, 8, 14, A, A
12469, 3:27.81, 18, 14, 2, A, A, 10
12470, 3:27.83, 10, B, 30, 22, 5, A
12471, 3:27.85, 7, 22, A, A, B, 29
12472, 3:27.86, 29, A, 4, B, A, 5
12473, 3:27.88, 5, 18, 21, A, B, A
12474, 3:27.90, A, 6, B, A, 28, 28
12475, 3:27.91, 28, 7, 28, A, 14, B
12476, 3:27.93, 22, 19, A, A, 21, A
12477, 3:27.95, A, 6, 21, B, 4, A
12478, 3:27.96, 3, B, 4, 3, 24, 26
12479, 3:27.98, B, 3, 24, B, 22, 10
12480, 3:28.00, B, 31, 22, 20, 12, A
12481, 3:28.01, 1, A, B, 23, B, 30
12482, 3:28.03, 30, B, 11, 15, A, A
12483, 3:28.05, 0, B, 27, 3, 30, A
12484, 3:28.06, 18, 3, B, 6, 25, A
12485, 3:28.08, 5, 6, B, A, A, 3
12486, 3:28.10, 3, 20, 8, 29, B, 21
12487, 3:28.11, A, 29, 15, B, 31, B
12488, 3:28.13, 16, 18, 31, A, B, 21
12489, 3:28.15, B, 25, A, 25, A, 6
12490, 3:28.16, 6, 25, A, A, 11, A
12491, 3:28.18, 3, B, 11, 22, A, 22
12492, 3:28.20, 22, A, 25, 15, A, B
12493, 3:28.21, 18, 15, B, B, 16, A
12494, 3:28.23, 15, B, A, 3, A, 5
12495, 3:28.25, 5, A, B, A, 30, 8
12496, 3:28.26, 8, 8, 30, 12, A, B
12497, 3:28.28, 0, B, 2, A, 1, B
12498, 3:28.30, 6, 20, B, B, B, 31
12499, 3:28.31, 31, B, B, 20, 4, A
12500, 3:28.33, B, 20, A, 30, 25, B
12501, 3:28.35, 29, 30, 25, B, 24, A
12502, 3:28.36, 16, B, 24, 13, A, 14
12503, 3:28.38, 14, 13, 18, 20, A, B
12504, 3:28.40, B, B, 6, A, 25, 21
12505, 3:28.41, 21, A, B, 16, A, 25
12506, 3:28.43, 25, 16, 6, A, 0, A
12507, 3:28.45, 0, 21, 0, A, 0, A
12508, 3:28.46, A, B, 0, A, 28, 20
12509, 3:28.48, 20, A, 28, A, 14, 19
12510, 3:28.50, 19, B, 14, A, 24, 6
12511, 3:28.51, 6, 3, B, A, A, 13
12512, 3:28.53, 13, A, B, A, 24, 28
12513, 3:28.55, 28, 27, 24, 24, A, B
12514, 3:28.56, 30, A, B, A, 26, 8
12515, 3:28.58, 8, B, 26, A, 17, A
12516, 3:28.60, A, 20, 17, 17, A, A
12517, 3:28.61, A, B, 24, 7, 15, A
12518, 3:28.63, 9, 7, 15, B, A, B
12519, 3:28.65, B, B, 6, B, 8, 2
12520, 3:28.66, 2, 6, 8, B, B, 17
12521, 3:28.68, 17, 8, B, 28, B, B
12522, 3:28.70, 24, 28, B, 11, B, 10
12523, 3:28.71, 10, 11, B, 28, A, 18
12524, 3:28.73, 18, 28, 0, A, A, 31
12525, 3:28.75, 31, A, 11, A, B, 7
12526, 3:28.76, 7, B, 12, 8, 13, 3
12527, 3:28.78, 3, B, 13, B, 30, 27
12528, 3:28.80, 27, 4, 30, B, B, 3
12529, 3:28.81, 3, 8, B, 22, A, B
12530, 3:28.83, 15, 22, 27, 23, 2, B
12531, 3:28.85, 16, 23, B, 1, A, B
12532, 3:28.86, 26, 1, 10, A, B, 19
12533, 3:28.88, 19, 1, A, 14, 16, B
12534, 3:28.90, A, 14, 16, 28, B, B
12535, 3:28.91, 25, A, 5, 21, B, B
12536, 3:28.93, 5, 21, A, 24, B, A
12537, 3:28.95, A, A, 29, 14, 5, B
12538, 3:28.96, 13, A, B, 29, 8, A
12539, 3:28.98, 21, 29, 8, B, 7, A
12540, 3:29.00, 16, 26, B, 5, 25, A
12541, 3:29.01, 17, 5, B, B, 12, A
12542, 3:29.03, 5, 14, 12, B, B, 0
12543, 3:29.05, 0, A, B, 20, B, 18
12544, 3:29.06, 18, 20, A, 31, B, B
12545, 3:29.08, 1, 31, B, 31, B, 2
12546, 3:29.10, 2, A, 31, 1, 14, B
12547, 3:29.11, 11, A, 14, 12, 6, B
12548, 3:29.13, 8, 12, B, 27, 19, A
12549, 3:29.15, 11, A, 19, A, 5, B
12550, 3:29.16, 3, 17, 5, 24, A, A
12551, 3:29.18, 20, 24, A, B, A, 25
12552, 3:29.20, 25, 1, 21, B, B, A
12553, 3:29.21, 17, 26, B, A, 16, 0
12554, 3:29.23, B, 25, A, 17, A, 23
12555, 3:29.25, 23, 17, A, 15, A, 26
12556, 3:29.26, 26, A, 25, 27, A, A
12557, 3:29.28, 6, B, 10, 24, 8, A
12558, 3:29.30, 6, B, 8, A, 7, B
12559, 3:29.31, 3, 19, 7, B, 5, B
12560, 3:29.33, 19, B, 5, B, 20, A
12561, 3:29.35, 4, 25, B, 7, B, A
12562, 3:29.36, 0, 7, 0, 29, B, 16
12563, 3:29.38, 16, B, B, 21, 22, B
12564, 3:29.40, 2, 21, 22, 21, B, B
12565, 3:29.41, 29, 21, B, 0, A, 23
12566, 3:29.43, 23, B, 2, 21, B, A
12567, 3:29.45, 15, 21, 11, 30, A, A
12568, 3:29.46, 0, A, A, 11, B, 15
12569, 3:29.48, 15, A, 1, 17, B, 27
12570, 3:29.50, 27, A, B, 7, 15, 3
12571, 3:29.51, 3, B, 15, A, 19, B
12572, 3:29.53, 1, 7, B, 8, 9, B
12573, 3:29.55, 28, 8, 9, B, 23, 3
12574, 3:29.56, 3, B, B, 3, 17, B
12575, 3:29.58, 16, 3, 17, B, B, B
12576, 3:29.60, 0, 20, 7, 24, B, B
12577, 3:29.61, 25, 24, B, 4, B, 18
